Vuosi	Paaluokka/Osasto	Luku	Momentti	Alkup.talousarvio	Lisätalousarvio	Voimassaoleva talousarvio	Käytettävissä	Nettokertymä ko.vuodelta	Nettokertymä	Jäljellä	
2014	21. Eduskunta	21.01. Kansanedustajat	21.01.01. Kansanedustajien toimintamenot	21744000	0	21744000	21744000	21273311	45	21273311	45	470688	55	
2014	21. Eduskunta	21.10. Eduskunnan kanslia	21.10.01. Eduskunnan kanslian toimintamenot	54339000	0	54339000	54339000	51994909	33	51994909	33	2344090	67	
2014	21. Eduskunta	21.10. Eduskunnan kanslia	21.10.02. Peruskorjaukseen liittyvät toimintamenot	8765000	0	8765000	8765000	6809263	72	6809263	72	1955736	28	
2014	21. Eduskunta	21.10. Eduskunnan kanslia	21.10.29. Arvonlisäveromenot	12500000	0	12500000	12500000	12416387	61	12416387	61	83612	39	
2014	21. Eduskunta	21.10. Eduskunnan kanslia	21.10.70. Tietohallinnon laitehankinnat ja kehittämishankkeet	4300000	0	4300000	4300000	4300000	4300000	0	
2014	21. Eduskunta	21.10. Eduskunnan kanslia	21.10.74. Eduskunnan rakennusten peruskorjaukset	26500000	0	26500000	26500000	26500000	26500000	0	
2014	21. Eduskunta	21.20. Eduskunnan oikeusasiamies	21.20.01. Eduskunnan oikeusasiamiehen kanslian toimintamenot	6049000	0	6049000	6049000	5902342	27	5902342	27	146657	73	
2014	21. Eduskunta	21.30. Ulkopoliittinen instituutti	21.30.01. Ulkopoliittisen instituutin toimintamenot	3338000	0	3338000	3338000	3338000	3338000	0	
2014	21. Eduskunta	21.30. Ulkopoliittinen instituutti	21.30.29. Arvonlisäveromenot	168000	0	168000	168000	196676	15	196676	15	-28676	15	
2014	21. Eduskunta	21.40. Valtiontalouden tarkastusvirasto	21.40.01. Valtiontalouden tarkastusviraston toimintamenot	15307000	0	15307000	15307000	15307000	15307000	0	
2014	21. Eduskunta	21.40. Valtiontalouden tarkastusvirasto	21.40.29. Arvonlisäveromenot	582000	0	582000	582000	575273	52	575273	52	6726	48	
